Timestamp,Milliseconds,centimeters
2019-10-27 21:46:42,231002,8.0
2019-10-27 21:46:43,232001,8.0
2019-10-27 21:46:44,233001,8.0
2019-10-27 21:46:45,234002,8.0
2019-10-27 21:46:46,235001,8.0
2019-10-27 21:46:47,236002,8.0
2019-10-27 21:46:48,237001,8.0
2019-10-27 21:46:49,238001,8.0
2019-10-27 21:46:50,239002,8.0
2019-10-27 21:46:51,240002,8.0
2019-10-27 21:46:52,241001,8.0
2019-10-27 21:46:53,242001,8.0
2019-10-27 21:46:54,243002,8.0
2019-10-27 21:46:55,244001,8.0
2019-10-27 21:46:56,245001,8.0
2019-10-27 21:46:57,246002,8.0
2019-10-27 21:46:58,247001,8.0
2019-10-27 21:46:59,248001,8.0
2019-10-27 21:47:00,249002,8.0
2019-10-27 21:47:01,250001,8.0
2019-10-27 21:47:02,251002,8.0
2019-10-27 21:47:03,252001,8.0
2019-10-27 21:47:04,253001,8.0
2019-10-27 21:47:05,254002,8.0
2019-10-27 21:47:06,255001,8.0
2019-10-27 21:47:07,256002,8.0
2019-10-27 21:47:08,257001,8.0
2019-10-27 21:47:09,258001,8.0
2019-10-27 21:47:10,259002,8.0
2019-10-27 21:47:11,260002,8.0
2019-10-27 21:47:12,261002,8.0
2019-10-27 21:47:13,262001,8.0
2019-10-27 21:47:14,263001,8.0
2019-10-27 21:47:15,264001,8.0
2019-10-27 21:47:16,265002,8.0
2019-10-27 21:47:17,266001,8.0
2019-10-27 21:47:18,267001,8.0
2019-10-27 21:47:19,268002,8.0
2019-10-27 21:47:20,269001,8.0
2019-10-27 21:47:21,270001,8.0
2019-10-27 21:47:22,271001,8.0
2019-10-27 21:47:23,272002,8.0
2019-10-27 21:47:24,273001,8.0
2019-10-27 21:47:25,274001,8.0
2019-10-27 21:47:26,275001,8.0
2019-10-27 21:47:27,276002,8.0
2019-10-27 21:47:28,277001,8.0
2019-10-27 21:47:29,278001,8.0
2019-10-27 21:47:30,279002,8.0
2019-10-27 21:47:31,280001,8.0
2019-10-27 21:47:32,281001,8.0
2019-10-27 21:47:33,282001,8.0
2019-10-27 21:47:34,283002,8.0
2019-10-27 21:47:35,284001,8.0
2019-10-27 21:47:36,285001,8.0
2019-10-27 21:47:37,286002,8.0
2019-10-27 21:47:38,287001,8.0
2019-10-27 21:47:39,288001,8.0
2019-10-27 21:47:40,289002,8.0
2019-10-27 21:47:41,290001,8.0
2019-10-27 21:47:42,291001,8.0
2019-10-27 21:47:43,292001,8.0
2019-10-27 21:47:44,293002,8.0
2019-10-27 21:47:45,294001,8.0
2019-10-27 21:47:46,295001,8.0
2019-10-27 21:47:47,296001,8.0
2019-10-27 21:47:48,297002,8.0
2019-10-27 21:47:49,298002,8.0
2019-10-27 21:47:50,299001,8.0
2019-10-27 21:47:51,300001,8.0
2019-10-27 21:47:52,301002,8.0
2019-10-27 21:47:53,302001,8.0
2019-10-27 21:47:54,303001,8.0
2019-10-27 21:47:55,304002,8.0
2019-10-27 21:47:56,305001,8.0
2019-10-27 21:47:57,306001,8.0
2019-10-27 21:47:58,307002,8.0
2019-10-27 21:47:59,308001,8.0
2019-10-27 21:48:00,309001,8.0
2019-10-27 21:48:01,310002,8.0
2019-10-27 21:48:02,311001,8.0
2019-10-27 21:48:03,312001,8.0
2019-10-27 21:48:04,313002,8.0
