Timestamp,Milliseconds,Illuminance
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:02,4786930,80.0
2019-10-27 17:26:03,4787043,80.0
2019-10-27 17:26:04,4788040,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:00,4844396,80.0
2019-10-27 17:27:01,4845040,80.0
2019-10-27 17:27:01,4846009,80.0
2019-10-27 17:27:03,4847040,80.0
2019-10-27 17:27:04,4848049,80.0
2019-10-27 17:27:05,4849041,80.0
2019-10-27 17:27:05,4850024,81.0
2019-10-27 17:27:07,4851039,80.0
2019-10-27 17:27:08,4852030,80.0
2019-10-27 17:27:09,4853034,80.0
2019-10-27 17:27:10,4854791,80.0
2019-10-27 17:27:11,4855040,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:20,4864790,80.0
2019-10-27 17:27:21,4865040,80.0
2019-10-27 17:27:22,4866039,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4877211,80.0
2019-10-27 17:27:33,4878023,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907798,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
2019-10-27 17:28:03,4907799,80.0
